,translation
18,"{'prefix': 'translate Hinglish to English: ', 'input': 'batman tho billionaire ho gaya', 'target': 'Batman as a billionaire'}"
19,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan yar', 'target': 'yeah right!'}"
20,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya voh hamesa aise hi hein?', 'target': ""Isn't that what he always was?""}"
21,"{'prefix': 'translate Hinglish to English: ', 'input': 'But weh ise main focus bnate hai.', 'target': 'But they make it the main focus.'}"
22,"{'prefix': 'translate Hinglish to English: ', 'input': 'Batman mujhe pta hai, humble tha', 'target': 'Batman I know, was humble'}"
23,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main characters ke liye intellectual development mere liye problem thi. Khaaskar Lex Luthor se sambhandit', 'target': 'The lack of intellectual development for the main characters was my problem. Especially concerning Lex Luthor'}"
24,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumne yeh movie dekhi hai?', 'target': 'Have you seen this movie?'}"
25,"{'prefix': 'translate Hinglish to English: ', 'input': 'Han maine dekhi', 'target': 'Yes I have'}"
26,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tumhara favourite part kya hai?', 'target': 'What was your favorite part?'}"
27,"{'prefix': 'translate Hinglish to English: ', 'input': 'Lex Luthor sabse bura villain tha', 'target': 'Lex L uthor was the worse villain ever'}"
28,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tumne socha?', 'target': 'You think?'}"
29,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo ek yaadgaar movie nhi thi. Jab main isse dekh rha tha tab mujhe popcorn ki bucket lene ka khayal aaya, but tum jldi hi bhool jaoge baad mein', 'target': ""This wasn't a memorable movie. It got me through a bucket of popcorn at the moment I was watching, but you forget about it soon after""}"
30,"{'prefix': 'translate Hinglish to English: ', 'input': 'hahaha', 'target': 'hahaha'}"
31,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya logon ko pata tha that they were super heroes?', 'target': 'Did people know that they were super heroes? '}"
32,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wonder Woman action scenes final act mein best part tha', 'target': 'The best part was Wonder Woman action scenes  in the final act'}"
33,"{'prefix': 'translate Hinglish to English: ', 'input': 'mein Wonder Woman ko love karta hun', 'target': 'I love Wonder Woman'}"
34,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wonder Woman uske liye sahi naam hai cause I always wonder why they took so long to get her into the movies', 'target': 'Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies'}"
35,"{'prefix': 'translate Hinglish to English: ', 'input': 'haha', 'target': 'haha'}"
36,"{'prefix': 'translate Hinglish to English: ', 'input': 'I agree!!!!', 'target': 'I agree!!!!'}"
37,"{'prefix': 'translate Hinglish to English: ', 'input': 'mujhe good superhero movie achi lagti hai! Iron Man achi movie hai', 'target': 'I love a good superhero movie! Iron Man is a good one.'}"
38,"{'prefix': 'translate Hinglish to English: ', 'input': 'hello', 'target': 'hello'}"
39,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya tumne move dekhi hai?', 'target': 'have you seen the mmovie?'}"
40,"{'prefix': 'translate Hinglish to English: ', 'input': 'Hi!', 'target': 'Hi!'}"
41,"{'prefix': 'translate Hinglish to English: ', 'input': 'maine kafi years pehle dekhi', 'target': 'I saw it many years ago'}"
42,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan, same!', 'target': 'Yes, same!'}"
43,"{'prefix': 'translate Hinglish to English: ', 'input': 'Aur abhi recent mein. main Robert Downey Jr ko as Iron Man kafi enjoy karta hun.', 'target': 'And just recently as well. I really do enjoy Robert Downey Jr as Iron Man.'}"
44,"{'prefix': 'translate Hinglish to English: ', 'input': ""Mujhe believe nahi hota ki isey aaye huye 10 saal ho gaye. That's crazy."", 'target': ""I can't believe it has been 10 years since it came out. That's crazy.""}"
45,"{'prefix': 'translate Hinglish to English: ', 'input': 'mujhe pata hai, lagta hai couple years hi huye hain', 'target': 'I know, it feels like cou ple years'}"
46,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe bhi Robert Downey acha lagta hai', 'target': 'I like Robert Downey too'}"
47,"{'prefix': 'translate Hinglish to English: ', 'input': 'Time fly ho jata hai. haha', 'target': 'Time flies. Haha. '}"
48,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tum isey dobara dekhoge?', 'target': 'Would you watch it again?'}"
49,"{'prefix': 'translate Hinglish to English: ', 'input': 'Definitely!', 'target': 'Definitely!'}"
50,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumne pehli baar isko big screen par dekha tha?', 'target': 'Did you see it on the big screen the first time?'}"
51,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main Rotten Tomatoes scores se normally agree karta hun. Is movie ke liye 94 kafi good tha.', 'target': 'I normally do agree with Rotten Tomatoes scores. A 94 for this movie is pretty good.'}"
52,"{'prefix': 'translate Hinglish to English: ', 'input': 'Maine isey DVD par dekha par still ye mazedaar tha', 'target': 'I saw it on DVD but still was fun'}"
53,"{'prefix': 'translate Hinglish to English: ', 'input': 'Honestly... confirm nahi hai! Ha!', 'target': 'Honestly... not sure! Ha!'}"
54,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main critics par poori tarah bharosa nahin karta, woh biased reviews dete hain', 'target': ""I don't totally trust critics, they give biased reviews""}"
55,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya is movie ka sequel nahin tha?', 'target': ""Wasn't there a sequel  to this movie?""}"
56,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main poori tarah se un par bharosa nahin karta. Mainne kabhi bhi apney aap ko reviews key based per movie dekhney se nahin roka.', 'target': ""I don't totally trust them either. I never let reviews stop me from watching a film.""}"
57,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe lagata hai ki apne se decide karna sabse achchha hai', 'target': 'I think it is best to decide for yourself'}"
58,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main aksar woh movie dekta hoon jis main merey pasand ke actors hotey hai', 'target': 'I usually watch a movie if I like the actors'}"
59,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mera maanna \u200b\u200bhai ki Iron man 2 aur 3 tha!', 'target': 'I believe there was an Iron man 2 and 3!'}"
60,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main bhool gaya ki Jeff bridges is cast mein tha!!', 'target': 'I forgot that Jeff bridges was in this cast!!'}"
61,"{'prefix': 'translate Hinglish to English: ', 'input': 'Isee tarah !!', 'target': 'Likewise!!'}"
62,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe vaastav mein is movie ka end pasand aaya.  Khaasakar jab Tony Stark  ne Iron Man ke roop mein apni pehchaan bataye.', 'target': 'I really did like the end of this movie. Especially when Tony Stark reveals his identity as Iron Man.'}"
63,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje kuch yaad nahi hein lekin pura movie tho enjoy kar raha tha', 'target': ""I don't remember details but the entire movie was enjoyable""}"
64,"{'prefix': 'translate Hinglish to English: ', 'input': 'tab shark tho stane ko defeat kar raha tha us uper vali building se', 'target': 'As well as when Stark defeats Stane on top of his building.'}"
65,"{'prefix': 'translate Hinglish to English: ', 'input': 'aap dusre baar is movie ko dekho aur yaadon ko refresh karo', 'target': ""You'll have to watch it again and refresh your memory!!!""}"
66,"{'prefix': 'translate Hinglish to English: ', 'input': 'mein bhi kuch aaise hi sochtha tha', 'target': 'I think I recall that'}"
67,"{'prefix': 'translate Hinglish to English: ', 'input': 'haa.. mein jarur dekhunga', 'target': 'Yes, I do need to watch it again'}"
68,"{'prefix': 'translate Hinglish to English: ', 'input': 'spring ka break mein dekh lunga', 'target': 'maybe during spring break'}"
69,"{'prefix': 'translate Hinglish to English: ', 'input': 'perfect ! aap sequels bhi followup karo.. ha ha', 'target': 'Perfect! You can follow up with the sequels. Haha'}"
70,"{'prefix': 'translate Hinglish to English: ', 'input': 'yeh in movies mein yek hein, aap abhi hi pick up karo aur kabhi bhi watch kar sakthe hein', 'target': ""it's one of those movies you can just pick up and watch any time""}"
71,"{'prefix': 'translate Hinglish to English: ', 'input': 'aap ko tho yeh background ko patha hi nahi', 'target': ""you don't really need to know the background""}"
72,"{'prefix': 'translate Hinglish to English: ', 'input': 'Definitely! mein sequels bhi dekh lunga.. bahut maja aayaga.. tho apse chat karne se ache laga... rest of the day enjoy karo..', 'target': ""Definitely! Even for the sequels. Still enjoyable. Well, it's been nice chatting! Enjoy the rest of your day.""}"
73,"{'prefix': 'translate Hinglish to English: ', 'input': 'namaste', 'target': 'HI'}"
74,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya aapne wonder woman film  dekha hai', 'target': 'DID YOU SEE THIS FILM  WONDER WOMAN'}"
75,"{'prefix': 'translate Hinglish to English: ', 'input': 'haa', 'target': 'YES '}"
76,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya yah film aap ko pasand hai?', 'target': 'DO U LIKE THIS FILM?'}"
77,"{'prefix': 'translate Hinglish to English: ', 'input': 'mujhe ye film pasand hai', 'target': 'S I LIKE THIS FILM'}"
78,"{'prefix': 'translate Hinglish to English: ', 'input': 'yah dc comic par aadharit hai. wamer bros pictures  ne vitarit kiya hai', 'target': 'IT IS BASED ON DC COMISC. THE DISTRIBUTED BY WAMER BROS. PICTURES'}"
79,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan wo ek famous DC Comics hai', 'target': 'YEAH IT IS A  FAMOUS DC COMICS. '}"
80,"{'prefix': 'translate Hinglish to English: ', 'input': 'Accha', 'target': 'GOOD'}"
81,"{'prefix': 'translate Hinglish to English: ', 'input': 'Yeh hai German Army (German Empire)', 'target': 'THIS IS  German Army (German Empire) '}"
82,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan main jaanta hu. Ye term Deutsches Heer modern German Army k lie bhi use hoto hai. Bundeswehr ka land component', 'target': 'yes i know. The term Deutsches Heer is also used for the modern German Army, the land component of the Bundeswehr.'}"
83,"{'prefix': 'translate Hinglish to English: ', 'input': 'Iske alawa Jenkin ka role as a director use pahli women director bana deta hai kisi bhi live-action theatrically released comic book superhero film ka', 'target': ""S APART FROM THIS Jenkins's role as director makes her the first female director of a live-action, theatrically released comic book superhero film.""}"
84,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tumhe wo movie pasand aayi?', 'target': 'ARE YOU LIKE THAT MOVIE'}"
85,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan mujhe pasand aayi aur maine is movie ko enjoy bhi kiya', 'target': 'YES I LIKE THAT. AND ALSO I ENJOYED THIS MOVIE.'}"
86,"{'prefix': 'translate Hinglish to English: ', 'input': 'Oh kitne baar dekh chuke ho ye movie?', 'target': 'OH HOW MANY TIMES YOU SEE THIS MOVIE'}"
87,"{'prefix': 'translate Hinglish to English: ', 'input': 'main ye movie 2 baar dekh chuka hu', 'target': '2 TIMES I WATCHED THIS MOVIE.'}"
88,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tumhe movie ki director pasand aayi kya?', 'target': 'ARE YOU LIKE THIS MOVIE DIRECTOR'}"
89,"{'prefix': 'translate Hinglish to English: ', 'input': 'Aap kaha se hai?', 'target': 'ARE YOU FROM'}"
90,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ha mujhe ye film director pasand hai', 'target': 'YEAH I LIKE THIS FILM DIRECTOR. '}"
91,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ha', 'target': 'YEAH'}"
92,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya ha', 'target': 'WHAT YEAH'}"
93,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ha my yaha hoon', 'target': 'YES I AM HERE'}"
94,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kyu ye film pasand hai', 'target': 'WHY DO LIKE THIS FILM?'}"
95,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ha mujhe ye movie pasand hai', 'target': 'YES I LIKE THIS FILM'}"
96,"{'prefix': 'translate Hinglish to English: ', 'input': 'Lekin my ye movie nahi dekha', 'target': 'BUT IAM NOT SEE THIS MOVIE'}"
97,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kyu dekh nahi sakte ho?tumhe pata hai  yah movie bahut achi hai', 'target': 'WHY DO DID NOT SEE THAT? DO YOU KNOW THIS MOVIE IS REALLY GOOD'}"
98,"{'prefix': 'translate Hinglish to English: ', 'input': 'IS FILM ME KAUN SE BHUMIKA AAP KO ACHHA LAGA', 'target': 'WHICH CHARECTER YOU LIKE THIS MOVIE'}"
99,"{'prefix': 'translate Hinglish to English: ', 'input': 'IS FILM MEMUJHE SAB BHUMIKA ACHHI LAGI', 'target': 'I LIKE ALL THE CHARACTER IN THIS FILM'}"
100,"{'prefix': 'translate Hinglish to English: ', 'input': 'SACH', 'target': 'OH REALLY'}"
101,"{'prefix': 'translate Hinglish to English: ', 'input': 'BEHTHAR', 'target': 'THAT NICE'}"
102,"{'prefix': 'translate Hinglish to English: ', 'input': 'BAHUT ACHHA', 'target': 'OK FINE'}"
103,"{'prefix': 'translate Hinglish to English: ', 'input': 'hey, kya tumne Avengers dekhi?The Avengers?ye pretty good movie he, tumhe check karna chahiye agar tum Robert Downey Jr, ko like karte ho.', 'target': ""Hey, have you seen The Avengers? It's a pretty good movie, you should check it out if you like Robert Downey Jr.""}"
104,"{'prefix': 'translate Hinglish to English: ', 'input': 'yes, me janata hu and me ye movie like karta hu', 'target': 'YES, I KNOW AND ALSO I LIKE THE MOVIE'}"
105,"{'prefix': 'translate Hinglish to English: ', 'input': 'yah vaastav mein bahut achchha hai ki maark raphphaalo ne broos bainar / da halk ke roop mein kya kiya, jisase vah itana shaant ho gaya ki aap jvaalaamukhee banane ke lie taiyaar nahin hain?', 'target': ""It's really great what Mark Ruffalo did as Bruce Banner/The Hulk, making him so calm yet ready to become a volcano don't you think?""}"
106,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan mujhe aisa lagata hai', 'target': 'Yes, I think so'}"
107,"{'prefix': 'translate Hinglish to English: ', 'input': 'main hamesha ek bada  Joss Whedon prashansak nahin hoon, lekin unhonne teem kee mool kahaanee ko masaala dene ke lie haasy ke saath achchha kaam kiya. kya aap aashcharyachakit the ki isane kaee paatron ke saath kaam kiya?', 'target': ""I'm not always a big Joss Whedon fan, but he did a good job with the humor to spice up the team origin story. Were you surprised that it worked with so many characters?""}"
108,"{'prefix': 'translate Hinglish to English: ', 'input': 'sakhtee se, yah usakee mukhy kshamata ho sakatee hai', 'target': 'Strictly, this may be his main potential'}"
109,"{'prefix': 'translate Hinglish to English: ', 'input': 'main kahoonga ki Robert Downey Jr bhee yahaan apanee kshamata ke saath khel rahe hain, apanee tej jeebh aur parishkaar ke saath. aapaka pasandeeda charitr kaun tha?', 'target': 'I would say Robert Downey Jr. is also playing to his potential here, with his sharp tongue and sophistication. Who was your favorite character?'}"
110,"{'prefix': 'translate Hinglish to English: ', 'input': 'Robert Downey mera sabase pasandeeda pasandeeda charitr hai', 'target': 'Robert Downey is my favorite favorite CHARACTER'}"
111,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya aapako lagata hai ki unhonne evenjars kee achchhee leedaraship kee ya kisee aur ne aapako is tarah se khada kiya?', 'target': 'Did you think he made a good leadership figure of the Avengers or did anybody else stand out to you more that way?'}"
112,"{'prefix': 'translate Hinglish to English: ', 'input': 'nahin, vah sahee hai', 'target': 'No, he is right'}"
113,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tesseract se bachakar nikalana kaaphee achchha tha, philm ke lie ton set karana.', 'target': 'That opening with the Tesseract escape was pretty cool, setting the tone for the movie.'}"
114,"{'prefix': 'translate Hinglish to English: ', 'input': 'may bai yahee philm kee saphalata ka kaaran tha', 'target': ""MAY BE  That was the reason for the film's success""}"
115,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan jab Hawkeye movie me itni jaldi enslave hogaya to wo kaafi surprising tha', 'target': 'Yeah, it was pretty surprising when Hawkey got enslaved so early in the movie though.'}"
116,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo image capture skills k baare me hai', 'target': 'It refers to   image capture skills'}"
117,"{'prefix': 'translate Hinglish to English: ', 'input': 'Please mujhse chat karo fast', 'target': 'PLEASE CHAT ME FAST'}"
118,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main uske baare me sure nahi hu , but Nick Fury hamesha bahut cool rahta hai. Afsos bad guys hamesha ek kadam aage rahte hai', 'target': ""I'm not sure about that, but Nick Fury is always so cool. Too bad the bad guys always have to get one up on them.""}"
119,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo unka nature hai aur wo impossible hai', 'target': ""It's their nature and it's impossible""}"
120,"{'prefix': 'translate Hinglish to English: ', 'input': 'I guess so. Akhir Chitauri k leader ka kya mamla hai. Kaafi mysterious', 'target': 'I guess so. I wonder what the deal is with the leader of those Chitauri? Very mysterious.'}"
121,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo bilkul last tak mystery tha', 'target': 'It was a mystery to the last'}"
122,"{'prefix': 'translate Hinglish to English: ', 'input': 'At least is film k liye I guess. Jab Coulson mara kaafi sad tha. Kya us scene me feeling aayi?', 'target': 'For this film at least I guess. It was pretty sad when Coulson died. Did that scene get you?'}"
123,"{'prefix': 'translate Hinglish to English: ', 'input': 'Dekhne ki ek jhalak thi', 'target': 'There is a glimpse of seeing'}"
124,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan , at least sabhi avengers ko saath le aayi, pure time aapas  me ladne ki koi jarurat nai thi', 'target': 'Yeah, a t least it brought the Avengers together finally, no need for them to be fighting each other the whole time.'}"
125,"{'prefix': 'translate Hinglish to English: ', 'input': 'koi zarurat nhi', 'target': 'There is no need'}"
126,"{'prefix': 'translate Hinglish to English: ', 'input': 'absolutely loki ko maro jaise hulk ne mara tha uski butt par lath kisne mari', 'target': 'Absolutely. Beat on Loki, like the Hulk did. Who kicked the most butt do you think?'}"
127,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje lgta hai aisa', 'target': 'I think so'}"
128,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje acha lga ki hulk ne Iron Man ko bachaya girne se kitna acha samay tha wo', 'target': 'I loved that Hulk saved Iron Man when he was falling, such a great moment.'}"
129,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje bhi Hulk pasand hai', 'target': 'I like Hulk too'}"
130,"{'prefix': 'translate Hinglish to English: ', 'input': 'tumhe nhi lgta wo sabse acha hai, bhote badi baat hai ki puri team sath mai kaam krti hai din ko akhir mai bachane ke liye ?', 'target': ""Yeah he's the best. It's great that the whole team had to work together to save the day in the end, don't you think?""}"
131,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje pta hai mai soch rha tha', 'target': 'I knew and I thought'}"
132,"{'prefix': 'translate Hinglish to English: ', 'input': 'kuch to bhote bada stake hai use nuclear missile mai jo new york ki teraf ja rhi thi', 'target': 'There were certainly some high stakes with that nuclear missile heading for New York.'}"
133,"{'prefix': 'translate Hinglish to English: ', 'input': 'namaste. aapane philm ke baare mein kya socha?', 'target': 'Hi there. What did you think of the movie?'}"
134,"{'prefix': 'translate Hinglish to English: ', 'input': 'namaste?', 'target': 'Hello?'}"
135,"{'prefix': 'translate Hinglish to English: ', 'input': 'namaste, mujhe lagata hai ki yah bahut achchha hai, yah bee rodave sangeet ke roop mein achchha hoga', 'target': ""Hi, I think it's great, it would be good as a B roadway musical""}"
136,"{'prefix': 'translate Hinglish to English: ', 'input': 'aapako kya lagata hai ki brodave sangeet ke roop mein yah bahut achchha hoga?', 'target': 'Why do you think it would be great as a Broadway musical?'}"
137,"{'prefix': 'translate Hinglish to English: ', 'input': 'mukhy roop se gaayan lekin jab se kahaanee ek yaatra ke baare mein hai.', 'target': 'mainly the singing but also since the story is about a journey.'}"
138,"{'prefix': 'translate Hinglish to English: ', 'input': 'tum kya sochate ho?', 'target': 'What do you think?'}"
139,"{'prefix': 'translate Hinglish to English: ', 'input': 'philm mein sangeet bahut hee aakarshak aur aanandadaayak hai, isalie main sahamat hoon.', 'target': 'The music in movie is very catchy and enjoyable, so I agree.'}"
140,"{'prefix': 'translate Hinglish to English: ', 'input': 'aapane kisakee yaatra ko sabase adhik sammohak paaya?', 'target': 'Whose journey did you find most compelling?'}"
141,"{'prefix': 'translate Hinglish to English: ', 'input': 'anna kee yaatra', 'target': ""Anna's journey""}"
142,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya aapako lagata hai ki nishkarsh usake charitr ke lie santoshajanak tha?', 'target': 'Did you think the conclusion was satisfying for her character?'}"
143,"{'prefix': 'translate Hinglish to English: ', 'input': 'vah khud hone kee koshish kar rahee thee aur saath hee saath apanee bahan kee raksha kar rahee thee, isalie mujhe lagata hai ki yah poora hone ke baad se santusht thee.', 'target': 'She was trying to be herself and at the same time protect her sister so I think it was satisfying since that was accomplished.'}"
144,"{'prefix': 'translate Hinglish to English: ', 'input': 'main sahamat hoon', 'target': 'I agree'}"
145,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya aapane paree katha ke baare mein suna hai jo philm par aadhaarit thee?', 'target': 'Have you heard of the fairy tale that the movie was based on?'}"
146,"{'prefix': 'translate Hinglish to English: ', 'input': 'nahin kabhee nahin.', 'target': 'No, never.'}"
147,"{'prefix': 'translate Hinglish to English: ', 'input': 'aap kis charitr kee sabase adhik prashansa karate hain?', 'target': 'Which character do you most admire?'}"
148,"{'prefix': 'translate Hinglish to English: ', 'input': 'namaskar', 'target': 'hello?'}"
149,"{'prefix': 'translate Hinglish to English: ', 'input': 'Hello!', 'target': 'Hello!'}"
150,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tum John Lee Hancock k baare me kya sochte ho?', 'target': 'What do you think of John Lee Hancock?'}"
151,"{'prefix': 'translate Hinglish to English: ', 'input': 'Hello', 'target': 'Hello.  '}"
152,"{'prefix': 'translate Hinglish to English: ', 'input': 'hey! kya The social network dekha?', 'target': 'Hey! Have you ever seen The Social Network?'}"
153,"{'prefix': 'translate Hinglish to English: ', 'input': 'nahi yar. lekin muje patha hein ki voh 2010 mien filmed huva', 'target': 'I have not, but I know it was filmed in 2010.'}"
154,"{'prefix': 'translate Hinglish to English: ', 'input': 'aap dekha?', 'target': 'Have you seen it?'}"
155,"{'prefix': 'translate Hinglish to English: ', 'input': 'mein personally enjoy kiya.. facebook ka story hein yar.. reality based movie dekhna pasand hein?', 'target': 'I personally enjoyed it. It tells the story of the founding of Facebook. Do you like movies based on reality?'}"
156,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje bhi.. muje jesse eisenberg aur justin timberlake pasand hein. yeh movie ache reviews nikli, maybe mein watch jarur karunga', 'target': 'I do. I also like Jesse Eisenberg and Justin Timberlake. The movie got good reviews, so maybe I will watch it.'}"
157,"{'prefix': 'translate Hinglish to English: ', 'input': 'tho mein jarur recommend karunga.. yeh ache hein.. kya jesse eisenberg yaani zuckerburg ka role play intense se kiya.. voh tho badiya film hein', 'target': ""I really would recommend it myself. It was extremely good. Jesse Eisenberg plays Zuckerburg in such an intense way. It's a great film.""}"
158,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya aap us book ko read kiya jo yeh movie? the accidental billionaires?', 'target': 'Did you read the book the movie was based on? The Accidental Billionaires?'}"
159,"{'prefix': 'translate Hinglish to English: ', 'input': 'mein kuch learn kiya hein us book se aaj.. mein definitely padunga', 'target': ""I just learned it was based on the book today. I'm definitely going to have to read it. ""}"
160,"{'prefix': 'translate Hinglish to English: ', 'input': 'acha tho biographical part tho is movie mein jarur sach kaha hoga.. kyon ki is movie tho book ka based hein.. mark zuckerberg tho koi contribute nahi deya hoga', 'target': ""Apparently, the biographical part of the movie isn't exactly true to life, since the movie was based on the book. Mark Zuckerberg had no part in contributing to the movie.""}"
161,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ye janna jarur interesting hai. Main hamesha is bare me sochta tha. Apparently, Saverin akela consultant tha jiske paas koi true to life information thi.', 'target': 'That is certainly interesting to know. I always wondered about it myself. Apparently, Saverin was the only consultant with any true to life information.'}"
162,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya Armie Hammer ko do log play karte hue dekhna weird tha?', 'target': 'Was it weird to see Armie Hammer play two people?'}"
163,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo tha! To be honest unhone itna accha kaam kiya ke mujhe realize nahi hua dono Armie Hammer the. Wo ek amazing actor hai. Main ye bhi sochta hu k Facesmash ek hilarious startup name hai', 'target': 'It was! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer. He is an amazing actor. I also think Facesmash is a hilarious startup name.'}"
164,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ye hai! Kya crazy story hai ..basically wo dumped hogaya aur usse badle lete huye millions kama liye', 'target': 'It is! and what a crazy story... basically he got dumped and made millions off of trying to get even with her.'}"
165,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kinda contentious banda hai. Jitna tum abhi jaante ho, agar uske saath school me hote to kya uske sath friendly hote?', 'target': 'How contentious of a person. Based off what you know of him would you have be friendly with him if you were in school with him at the time?'}"
