,translation
26,"{'prefix': 'translate Hinglish to English: ', 'input': 'lekin is character tho badiya justice deya hein', 'target': 'but the characters served justice '}"
27,"{'prefix': 'translate Hinglish to English: ', 'input': 'is movie ke liye tho badiya hein', 'target': 'to the movie really well'}"
28,"{'prefix': 'translate Hinglish to English: ', 'input': 'male lead tho Sharlto copley ne hi kiya', 'target': 'It also has Sharlto Copley  as the male lead'}"
29,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan voh tho badiya hein', 'target': 'yes he is really good'}"
30,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya aur kuch iske baare mein kuch patha hein?', 'target': 'has he been in anything else you know of?'}"
31,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan muje patha hein', 'target': 'yes i do'}"
32,"{'prefix': 'translate Hinglish to English: ', 'input': 'to boliye', 'target': 'tell me'}"
33,"{'prefix': 'translate Hinglish to English: ', 'input': 'chappie', 'target': 'chappie'}"
34,"{'prefix': 'translate Hinglish to English: ', 'input': 'yek team', 'target': 'a team'}"
35,"{'prefix': 'translate Hinglish to English: ', 'input': 'free fire', 'target': 'free fire'}"
36,"{'prefix': 'translate Hinglish to English: ', 'input': 'acha nice hein', 'target': 'oh nice'}"
37,"{'prefix': 'translate Hinglish to English: ', 'input': 'hardcore henry bhi hein', 'target': 'hardcore henry also'}"
38,"{'prefix': 'translate Hinglish to English: ', 'input': 'Namaste', 'target': 'hi'}"
39,"{'prefix': 'translate Hinglish to English: ', 'input': 'thik hai', 'target': 'Hey'}"
40,"{'prefix': 'translate Hinglish to English: ', 'input': 'To kis movie ke bare mei ham baat kar rahe hai', 'target': 'so what movie r we chating bout'}"
41,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye Kitaab', 'target': 'The notebook'}"
42,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ye ek romantic natak hai', 'target': ""It's a romantic drama""}"
43,"{'prefix': 'translate Hinglish to English: ', 'input': 'bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai', 'target': 'best and only romantiv film  i ever enjoyed'}"
44,"{'prefix': 'translate Hinglish to English: ', 'input': 'Namaste', 'target': 'hello'}"
45,"{'prefix': 'translate Hinglish to English: ', 'input': 'The movie is John Wick. Kya tunme isse pahle dekha hai>', 'target': 'The movie is John Wick. Have you seen it before?'}"
46,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan, Kal I just watched it.', 'target': 'I just watched it yesterday '}"
47,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumne yeh enjoy kiya', 'target': 'Did you enjoy it?'}"
48,"{'prefix': 'translate Hinglish to English: ', 'input': 'Yeah mujhe lagta hain it was awesome', 'target': 'yeah I thought it was awesome'}"
49,"{'prefix': 'translate Hinglish to English: ', 'input': 'Muje wohi lagta hain jab I watched it. Keanu was amazing in it.', 'target': 'I thought the same thing when I watched it. Keanu was amazing in it.'}"
50,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe lagta hain woh ab iski tarah do not make movies anymore, like action movies.', 'target': 'I feel like they dont make movies like that anymore, like action movies'}"
51,"{'prefix': 'translate Hinglish to English: ', 'input': 'Bilkul nahin and ab woh start making this style', 'target': ""They really don't and they should start making this style.""}"
52,"{'prefix': 'translate Hinglish to English: ', 'input': 'yes exactly', 'target': 'Yeah exactly '}"
53,"{'prefix': 'translate Hinglish to English: ', 'input': 'yah dekh ke achcha laga ki John Leguizamo ne ek chhota mota comeback kiya hai', 'target': 'It was nice to see John Leguizamo make a little bit of a comeback.'}"
54,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe yad nahi first one me use dekhne ka', 'target': 'I dont remember seeing him in the first one'}"
55,"{'prefix': 'translate Hinglish to English: ', 'input': 'mera reaction bhi Wick ki tarah hi hota agar kisi ne mere us puppy ka mara hota jo ki mujhe meri dead wife ne diya tha', 'target': 'I would have had the same reaction as Wick  to anyone who killed the puppy my dead wife gave to me.'}"
56,"{'prefix': 'translate Hinglish to English: ', 'input': 'yes aap right ho mai bhi insane ho jata', 'target': 'yeah your right I would have gone insane.'}"
57,"{'prefix': 'translate Hinglish to English: ', 'input': 'bahut interesting tha assassin ki duniya ke part ko dekhna. John Wick ki car bahut beautiful thi chori hone se pahle.', 'target': ""It was interesting to see a part of the assassin world. John Wick's car was pretty beautiful until it got stolen.""}"
58,"{'prefix': 'translate Hinglish to English: ', 'input': 'mai bhi kal yahi soch raha tha ki uski car kitni cool hai.', 'target': 'I was thinking the same thing yesterday his car is cool.'}"
59,"{'prefix': 'translate Hinglish to English: ', 'input': 'HELLO', 'target': 'Hi'}"
60,"{'prefix': 'translate Hinglish to English: ', 'input': 'KAISA CHAL RAHA HAI?', 'target': 'How’s it going?'}"
61,"{'prefix': 'translate Hinglish to English: ', 'input': 'ACHA. KYA AAP MARVEL KA FAN HO?', 'target': 'Pretty good. Are you a Marvel fan?'}"
62,"{'prefix': 'translate Hinglish to English: ', 'input': 'SUN KE ACHA LAGA. AAP KA BHAT KYA HAI?', 'target': 'Good to hear. Sure, what about you?'}"
63,"{'prefix': 'translate Hinglish to English: ', 'input': 'HA MAIN BAHOOT BADA MARVEL FAN HUH . AVENGERS MERA FAVORITE AUR MARK RUFFALO BAHOOT BADIA THA HULK JAISAA.', 'target': 'Yes, I am a huge Marvel fan. One of my favorites is the Avengers. Mark Ruffalo is great as The Hulk. '}"
64,"{'prefix': 'translate Hinglish to English: ', 'input': 'TEEK HAI , MERE KHO BHI AVENGERS PASANDH HAI', 'target': 'Sure, I liked the Avengers a lot.'}"
65,"{'prefix': 'translate Hinglish to English: ', 'input': 'MAIN BHI YE SOCH RAHA KI MARK RUFFALO BADIA HAI HULK KE LIYA.', 'target': 'I also think Ruffalo is a great Hulk.'}"
66,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya Avengers aesi Movie he ki hame iske bare me talk karna chahiye?', 'target': 'Is Avengers the movie we’re supposed to talk about?'}"
67,"{'prefix': 'translate Hinglish to English: ', 'input': 'Rottten Tomatoes ne ise 92% rating di he aur 8/10 ka average. ya , me aisa believe karta hu.', 'target': 'Rotten Tomatoes gave it a 92% rating and average of 8/10. Yes, I believe so. '}"
68,"{'prefix': 'translate Hinglish to English: ', 'input': 'tab oke he. Right, me hamesha experience kiya he ki Rotten Tomatoes ke comparison me  IMDB movies ko lower average rating deta he.', 'target': 'Okay then. Right, I’ve always experiened that IMDB gives movies a lower average rating than rotten tomatoes.'}"
69,"{'prefix': 'translate Hinglish to English: ', 'input': 'not he it is tha', 'target': 'Tha'}"
70,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye to sure he', 'target': ""That's true""}"
71,"{'prefix': 'translate Hinglish to English: ', 'input': 'but mujhe lagta he ki 92 aur 80 to fair rating assessment he.', 'target': 'But I guess 92 and 80 are a fair assesment.'}"
72,"{'prefix': 'translate Hinglish to English: ', 'input': 'han, mujhe lagta he ki director ke liye bhi Joss Whedon good choice . uska vision comics ke sath vastav me inline tha.', 'target': 'Yeah, I think Joss Whedon was a good choice for director also. His vision was really inline with the comics. '}"
73,"{'prefix': 'translate Hinglish to English: ', 'input': 'well, me comics ke regarding to kah nahi sakta (me unhe read nahi kiya ke), but ye movies all heroes aur unki stories ka ek great mashup ke.', 'target': 'Well, I can’t speak for the comics (haven’t read them), but this movie is a great mashup of all the heroes and their stories.'}"
74,"{'prefix': 'translate Hinglish to English: ', 'input': 'meraguess ye he ki ye ek very good movie he amazing plot ke sath', 'target': 'I guess it’s just a very good movie with an amazing plot.'}"
75,"{'prefix': 'translate Hinglish to English: ', 'input': 'me agree karta hu.', 'target': 'I agree. '}"
76,"{'prefix': 'translate Hinglish to English: ', 'input': 'Loki ka Clint Barton ko use karna  Tesseract ki liye help k liye bhi awesome tha. Mujhe wo pasand hai even though wo bad guy hai', 'target': ""Loki using Clint Barton to help him with the Tesseract was awesome too. I like him even though he's a bad guy""}"
77,"{'prefix': 'translate Hinglish to English: ', 'input': 'Haan, badhiya scene tha.', 'target': 'Right, that was a great scene.'}"
78,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main bolunga k Loki ek likable villain hai', 'target': 'Loki’s a likable villain I’d say.'}"
79,"{'prefix': 'translate Hinglish to English: ', 'input': 'Avengers me uska kaha suni karwarna kaafi interesting tha. Thor ko movie k doran aise lag raha tha uske liye loyalty hai', 'target': 'It was interesting how it caused such a riff within The Avengers. Thor still felt like he had loyalty to him for a long time during the movie. '}"
80,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tum ye sochte ho?', 'target': 'You think?'}"
81,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe to laga wo uske saath kaafi ruthless tha', 'target': 'I thought he was pretty ruthless with him.'}"
82,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo bas mera opinion hai obviously.', 'target': 'That’s just my opinion obviously.'}"
83,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main wo dekh sakta hu but mujhe lagta hai wo bahut jyada damagar kar sakta tha agar wo chahta wo', 'target': 'I can see that somewhat but he could have done a lot more damage if he wanted to. '}"
84,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tumhare mind me koi specific example hai?', 'target': 'Do you have a specific example on mind?'}"
85,"{'prefix': 'translate Hinglish to English: ', 'input': 'Wo end fight scene definitely. Wo use maar sakta tha.', 'target': 'The end fight scene definitely was. He could have killed him. '}"
86,"{'prefix': 'translate Hinglish to English: ', 'input': 'oh wha kha hai jise hulk maar rha hai?', 'target': 'Oh, the one where Hulk ends up hitting him?'}"
87,"{'prefix': 'translate Hinglish to English: ', 'input': 'ha yeh classic tha film ke sabse majedar samay mai se ek muje bhi pasand aya maine wormhole ke madhyam se vapas gir gaya muje lgta hai ki yeh har kisi ke pass tha', 'target': 'Yeah, that was classic. One of the funniest moments of the movie. I also liked when Iron Man fell back through the wormhole. It had everyone on edge I think. '}"
88,"{'prefix': 'translate Hinglish to English: ', 'input': 'bilkul mahakavya ke scenes hai', 'target': 'Absolutely. Epic scenes.'}"
89,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya hum isse movie ke bare mai charcha ker sakte hai?', 'target': 'Can we talk about other movies or just this one?'}"
90,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya tum MCU jante ho?', 'target': 'You know, MCU'}"
91,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje bhi yeh pasand hai ki nick fury ne council ke sath apna ground bta diya sirk yeh ek', 'target': 'I also like the way Nick Fury stood his ground with the Council. Just this one. '}"
92,"{'prefix': 'translate Hinglish to English: ', 'input': 'samaj gya', 'target': 'Understood.'}"
93,"{'prefix': 'translate Hinglish to English: ', 'input': 'ha fury bhi bhota bada hai', 'target': 'Yeah, Fury’s great too.'}"
94,"{'prefix': 'translate Hinglish to English: ', 'input': 'to koi akhri sujhav?', 'target': 'So, any final thoughts?'}"
95,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye crazy baat hai ki council chahti hai ki nuclear missile new york par gire', 'target': ""It's crazy that the Council wanted him to drop a nuclear missile into New York. ""}"
96,"{'prefix': 'translate Hinglish to English: ', 'input': 'great udahran, man', 'target': 'Great examples, man.'}"
97,"{'prefix': 'translate Hinglish to English: ', 'input': 'Another MCU fan se talk karna great tha', 'target': 'It was great talking to another MCU fan.'}"
98,"{'prefix': 'translate Hinglish to English: ', 'input': 'now dhyan rakhna', 'target': 'Take care now!'}"
99,"{'prefix': 'translate Hinglish to English: ', 'input': 'Definitely! tum bhi!', 'target': 'Definitely! You too!'}"
100,"{'prefix': 'translate Hinglish to English: ', 'input': 'Hello?', 'target': 'Hello!'}"
101,"{'prefix': 'translate Hinglish to English: ', 'input': 'Hello to hum aaj jis movie k baare me baat karege wo hai Batman V Superman', 'target': 'Hello so the movie we will be talking about is Batman V. Superman'}"
102,"{'prefix': 'translate Hinglish to English: ', 'input': 'Great, maine abhi tak wo dekhi nahi hai, but sahi me dekhna chahta hu. Batman aur Superman kaun actors bane hai?', 'target': ""Great! I haven't actually seen that yet, but have been really wanting to. Which actors play Batman and Superman?""}"
103,"{'prefix': 'translate Hinglish to English: ', 'input': 'Actor bohot aache hai, aur tum shaiyad sabko jante ho. Ben affleck, henry cavill, amy adams, aur jesse eisenberg kuch naam hai', 'target': 'The actors are really great and you probably know all of them. Ben Affleck , Henry Cavill, Amy Adams, and Jesse Eisenberg to name a few.'}"
104,"{'prefix': 'translate Hinglish to English: ', 'input': 'Oh ye to bohot aachi cast hai? Henry cavill ne superman ka kirdaar nibhaya tha na latest superman film me?', 'target': 'Oh, that is a great cast? Henry Cavill played Superman in the latest Superman film right?'}"
105,"{'prefix': 'translate Hinglish to English: ', 'input': 'Maaf karna, ek aachi cast!', 'target': 'Sorry, a great cast!'}"
106,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mai nahi bol sakta lekin film ek part hai DC extended universe ka. Aur vo naya kirdar wonder women bhi dikhayenge', 'target': 'I am not sure but the film is still a part of the DC extended universe. Also it will be featuring wonder woman.'}"
107,"{'prefix': 'translate Hinglish to English: ', 'input': 'Ye to kaafi aacha hai. Mai wonder women ko deekhna chahunga! Kyaa batman aur superman dushman hai movie chalu hote samay', 'target': 'Ooh, that is excellent. I am looking forward to seeing Wonder Woman! Are Batman and Superman enemies at the start of the film?'}"
108,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kyaa lex luthor uksayega batman ko ek ladai ke liye superman ke saath kyunki vo obssessed hai clone superman se', 'target': 'Well lex luthor manipulates batman into a battle with Superman because he is obssessed with cloning superman.'}"
109,"{'prefix': 'translate Hinglish to English: ', 'input': 'Oh! batman superman ko lex luthor ke paas lekar jata hai', 'target': 'Oh! So Batman is supposed to bring Superman to Lex Luthor?'}"
110,"{'prefix': 'translate Hinglish to English: ', 'input': 'Nahi ye case nahi hai jabki vo uksata hai madat karne ko. Kyaa maine bataya ke ye pehli baar hai ke batman aur superman ek saath movie me hai?', 'target': 'No that is not the case however he is manipulated into helping. By the way did I mention this is going to be the first time batman and superman are in a movie together?'}"
111,"{'prefix': 'translate Hinglish to English: ', 'input': 'Sahi me? Pehli baar? Ye kaafi aacha sunai deta hai ke kirdaar aas paas rahe hai itne samay se! Kaafi aacha. Ye story metropolis me hai ya gotham me?', 'target': 'Really? The first time? That seems pretty amazing knowing that the characters have been around for so long! Very cool. Is the story set in Metropolis or Gotham?'}"
112,"{'prefix': 'translate Hinglish to English: ', 'input': 'Film dono jagah hoti hai, aur batman superman ko ek khatre ke tarah deekhta hai manavta ke liye', 'target': 'The film appears to take place in both cities, and Batman comes to view Superman as a threat to humanity.'}"
113,"{'prefix': 'translate Hinglish to English: ', 'input': 'Yeh interesting hai, dono cities mein film set hona. to Batman ne Superman ko neecha le jana kuch hadd tak apni duty mani hai?', 'target': 'That is interesting, to have the film set in both cities. So Batman sees it as his duty somewhat to take Superman down?'}"
114,"{'prefix': 'translate Hinglish to English: ', 'input': 'Khair characters ke relationships kafi complex hai kyunki  Clark Kent A.K.A. Superman Batman ke justice krne ke tarike sikh gya hai or use expose krne ki koshish krta hai. Ye sab tab hota hai jan Lex Luthor ek senator se kryptonite lene ka approval lene ke liye chaalein chalta hai.', 'target': ""Well the relationships of the characters are quite complex because Clark Kent A.K.A. Superman learns of Batman's justice methods and tries to expose him. All this happening while Lex luthor makes moves to get approval to obtain kryptonite from a senator.""}"
115,"{'prefix': 'translate Hinglish to English: ', 'input': 'Dilachasp. Aur isliye, mujhe lagta hai ki kahani mein Lois Lane hai? Agar aisa hai to, kya wo koi bada purpose serve kr rahi hai? Kya use dono superheroes ke baare mein pta hai?', 'target': 'Interesting. And so, I imagine Lois Lane is in this story? If so, does she serve a greater purpose? Does she know both superheroes?'}"
116,"{'prefix': 'translate Hinglish to English: ', 'input': 'Shayad but main sure nhi huin. Vaise tum aamataur par reviews ki paravaah karte ho?', 'target': 'Maybe but I am not sure. By the way do you usually care about reviews?'}"
117,"{'prefix': 'translate Hinglish to English: ', 'input': 'Main aksar reviews ko padhta hoon ki logon ka kya kahana hai, lekin main reviews ke aadhaar par movie dekhne ke baare mein apana mann nahin badalata huin. Mujhe lagata hai ki main vaastav mein tab tak nahin jaan sakta jab tak ki main kud se nahi dekhta. Kya tum reviews ki paravaah karte ho?', 'target': ""I will often read reviews to see what people have to say, but I don't change my mind about wanting to see a movie based on reviews. I think that I can't really know unless I see for myself. Do you care about reviews?""}"
118,"{'prefix': 'translate Hinglish to English: ', 'input': 'Aamataur par main apana khud ka judge banna pasand karta huin lekin agar reviews bahut bure ya achhe hai to yeh influence kar sakta hai ki main cinema main dekhta hoon ya nahin. Mujhe is movie ke lie kehna hoga, haalaanki reviews kaafi mixed hai.', 'target': 'Not usually I like to be my own judge however if the reviews are overwhelmingly bad or good then it may influence whether or not I watch in theatres. I have to say for this movies though the reviews are quite mixed. '}"
119,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumne ye film enjoy ki?', 'target': 'Did you enjoy this film?'}"
120,"{'prefix': 'translate Hinglish to English: ', 'input': 'Han. Mujhe vaastav mein un scenes ko dekhna pasand tha jahaan batman superman ko vash mein karne ke arrangements karta hai.', 'target': 'I did. I really liked seeing the scenes where batman manages to subdue the superman.'}"
121,"{'prefix': 'translate Hinglish to English: ', 'input': 'Badiya. Mujhe lagata hai ki yeh param savaalon mein se ek hai, kaun dusre ko hara sakta hai. Kya ve film mein team up krte hai?', 'target': ""Cool. I guess that's one of the ultimate questions, which one could beat out the other. Do they team up at all in the film ?""}"
122,"{'prefix': 'translate Hinglish to English: ', 'input': 'Han Batman Superman ki maa ko bachaane ko chunta hai jabaki superman Lex ka saamana karta hai.', 'target': 'Yes in Batman chooses to save Supermans mother while Superman confonts Lex.'}"
123,"{'prefix': 'translate Hinglish to English: ', 'input': 'tho acha hein! yeh tho batman aur superman ka mummy ka pairing hein jo bahut cool hein aur heartwarming hein', 'target': ""Oh wow! The pairing of Batman and Superman's mom is a really cool part of the story, heartwarming.""}"
124,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje patha tha lekin is film ka end tho superman ka mouth tho bada sad huva', 'target': 'I know but the film ends with sadly the death of Superman.'}"
125,"{'prefix': 'translate Hinglish to English: ', 'input': 'are vah! mein tho surprised huva, lekin mein soch raha hoon ki is story line tho dusra movie se likha gaya hein', 'target': 'Oh wow! I am surprised by that, I thought they would keep their story line going for another movie or two. '}"
126,"{'prefix': 'translate Hinglish to English: ', 'input': 'coffin ka vibrates ke baare mein koi worry na kare. kyon ki is wink us director ka hein', 'target': 'Dont worry the dirt on top of the coffin vibrates a nice wink from the Director.'}"
127,"{'prefix': 'translate Hinglish to English: ', 'input': 'ha ha.. yeh tho closing shot nikhla', 'target': ""Haha! That's the closing shot?!""}"
128,"{'prefix': 'translate Hinglish to English: ', 'input': 'mein believe kartha ki voh last scene se hein', 'target': 'I believe so it is in the last scene.'}"
129,"{'prefix': 'translate Hinglish to English: ', 'input': 'awesome yar.. dhyan rakhna', 'target': 'Awesome! Take care.'}"
130,"{'prefix': 'translate Hinglish to English: ', 'input': 'movie ka nam kya tha?', 'target': 'what is the name of the movie?'}"
131,"{'prefix': 'translate Hinglish to English: ', 'input': ""kya tumne 'The Post' dekhi hai?"", 'target': ""Did you watch 'The Post'?""}"
132,"{'prefix': 'translate Hinglish to English: ', 'input': 'nahi mene nahi kia', 'target': 'No, i didnt'}"
133,"{'prefix': 'translate Hinglish to English: ', 'input': 'konsa genre hai ye?', 'target': 'what genre is it?'}"
134,"{'prefix': 'translate Hinglish to English: ', 'input': ""ye 'Historical, Political' hai"", 'target': ""it is 'Historical, Political'""}"
135,"{'prefix': 'translate Hinglish to English: ', 'input': 'Steven Spielberg ne isey direct kiya', 'target': 'directed by Steven Spielberg'}"
136,"{'prefix': 'translate Hinglish to English: ', 'input': 'oh. Kya isme koi actor hai jiska mujhe pata ho?', 'target': 'oh. Does it have any actors that I might know of?'}"
137,"{'prefix': 'translate Hinglish to English: ', 'input': 'Maryl Stree', 'target': 'Maryl Stree '}"
138,"{'prefix': 'translate Hinglish to English: ', 'input': 'Streep', 'target': 'Streep'}"
139,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tom Hanks', 'target': 'Tom Hanks'}"
140,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya ye nayi movie hai?', 'target': 'is it a new movie?'}"
141,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan, 2017', 'target': 'yes, 2017'}"
142,"{'prefix': 'translate Hinglish to English: ', 'input': 'oh, mujhe lagta hai main thoda samay mein piche hun. kya ye well received hai?', 'target': 'oh, I guess im a bit behind the times. has it been well received?'}"
143,"{'prefix': 'translate Hinglish to English: ', 'input': 'main sochta hun ye worth watching hai', 'target': ""I think it's worth watching""}"
144,"{'prefix': 'translate Hinglish to English: ', 'input': 'kya tum plot ke bare mei janana chahte ho?', 'target': 'do you want to know something about plot?'}"
145,"{'prefix': 'translate Hinglish to English: ', 'input': 'baad mei post ka kya naam tha? movie ke bare mei kya kahna hai?', 'target': 'what type of ""post"" is it named after? whats the movie about?'}"
146,"{'prefix': 'translate Hinglish to English: ', 'input': 'haa please', 'target': 'yes please'}"
147,"{'prefix': 'translate Hinglish to English: ', 'input': 'Is post mei  pentagon paerss ko prakashit karne ke liye journalists ki attempts ki story hai', 'target': 'The Post depicts the story of attempts by journalists at The Washington Post to publish the Pentagon Paers'}"
148,"{'prefix': 'translate Hinglish to English: ', 'input': 'papers', 'target': 'Papers'}"
149,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye kya vietnam war se related hai?', 'target': 'oh. is that related to the vietnam war?'}"
150,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye movie government cover up ke bare mai hai?', 'target': 'is the movie about a government cover up?'}"
151,"{'prefix': 'translate Hinglish to English: ', 'input': 'goverment hamesh kuch chupane ki koshish karti hai ;)', 'target': 'the government always has something to hide ;)'}"
152,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye kya sach hai!', 'target': 'isnt that the truth!'}"
153,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe lagta he ki me ye movie enjoy karunga', 'target': 'it sounds like a movie id enjoy'}"
154,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe lagta he ye movie dekhne layak he', 'target': 'I think that this film is worth watching'}"
155,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya yaha lamba show he?', 'target': 'is it a long show?'}"
156,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumhe length pata he?', 'target': 'do you know the length?'}"
157,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe length nai pata.', 'target': 'I dont know the length'}"
158,"{'prefix': 'translate Hinglish to English: ', 'input': 'Lekin probably 1.30h as usual..', 'target': 'but probably about 1.30h as usual...'}"
159,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumhe pata he agar koi award jita he?', 'target': 'do you know if it has won any awards?'}"
160,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe nahi pata', 'target': ""I don't know""}"
161,"{'prefix': 'translate Hinglish to English: ', 'input': 'Thanks mujhe post ke bare me batane ke liye.', 'target': 'well thanks for telling me about the post. :)'}"
162,"{'prefix': 'translate Hinglish to English: ', 'input': 'Movie ka kya name hai?', 'target': 'What is the name of the movie?'}"
163,"{'prefix': 'translate Hinglish to English: ', 'input': 'Batman vs Superman. Kya tumne yeh dekhi hai?', 'target': 'Batman v Superman. Have you watched it ?'}"
164,"{'prefix': 'translate Hinglish to English: ', 'input': 'Nhi, maine nhi, kya yeh achhi hai?', 'target': 'No, I havent, is it good?'}"
165,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tum abhi bhi wahin ho?', 'target': 'Are you still there?'}"
166,"{'prefix': 'translate Hinglish to English: ', 'input': 'superman movie is better than Man of Steel', 'target': ""It's better than Man of Steel, the superman movie""}"
167,"{'prefix': 'translate Hinglish to English: ', 'input': 'par achi blow hai Dark Knight', 'target': 'But well below Dark Knight.'}"
168,"{'prefix': 'translate Hinglish to English: ', 'input': 'Jaws kya good movie thi!', 'target': 'Jaws was such a good movie!'}"
169,"{'prefix': 'translate Hinglish to English: ', 'input': 'me agree karta hu. yah well made thi.', 'target': 'I agree. It was well made.'}"
170,"{'prefix': 'translate Hinglish to English: ', 'input': 'scares well timed the', 'target': 'The scares were well timed.'}"
171,"{'prefix': 'translate Hinglish to English: ', 'input': 'mene soundtrack like kiya', 'target': 'I liked the soundtrack.'}"
172,"{'prefix': 'translate Hinglish to English: ', 'input': 'tumhara favorite part kon sa tha?', 'target': 'What was your favorite part?'}"
173,"{'prefix': 'translate Hinglish to English: ', 'input': 'mujhe lagta he yah Amity Island jaisa location use kar raha he.mujhe aisa lagata he jaise plot kahi bhi ho sakta he.', 'target': 'I think it was utilizing a location like Amity Island. It made me feel as if the plot could happen anywhere.'}"
