,translation
20,"{'prefix': 'translate English to Hinglish: ', 'input': 'its so lovely', 'target': 'wo bohat lovely hai'}"
21,"{'prefix': 'translate English to Hinglish: ', 'input': 'Its really good', 'target': 'ye really achi hai'}"
22,"{'prefix': 'translate English to Hinglish: ', 'input': 'what do you like about it', 'target': 'iske baare mein tume kya acha laga'}"
23,"{'prefix': 'translate English to Hinglish: ', 'input': 'The CGI is really good', 'target': 'CGI really good hai'}"
24,"{'prefix': 'translate English to Hinglish: ', 'input': 'and the storyline is fantastic', 'target': 'aur storyline fantastic hai'}"
25,"{'prefix': 'translate English to Hinglish: ', 'input': 'i really agree with that', 'target': 'main really agree karta hun isse'}"
26,"{'prefix': 'translate English to Hinglish: ', 'input': 'totally agree', 'target': 'bilkul agree'}"
27,"{'prefix': 'translate English to Hinglish: ', 'input': '- Yes, of course.', 'target': 'Han bilkul'}"
28,"{'prefix': 'translate English to Hinglish: ', 'input': 'So beautiful.', 'target': 'wo bohat lovely hai'}"
29,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's really good."", 'target': 'ye really achi hai'}"
30,"{'prefix': 'translate English to Hinglish: ', 'input': 'What do you like?', 'target': 'iske baare mein tume kya acha laga'}"
31,"{'prefix': 'translate English to Hinglish: ', 'input': 'HQ is really great.', 'target': 'CGI really good hai'}"
32,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's a wonderful story."", 'target': 'aur storyline fantastic hai'}"
33,"{'prefix': 'translate English to Hinglish: ', 'input': 'I do agree.', 'target': 'main really agree karta hun isse'}"
34,"{'prefix': 'translate English to Hinglish: ', 'input': '- I totally agree with that.', 'target': 'bilkul agree'}"
35,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yes, of course.', 'target': 'Han bilkul'}"
36,"{'prefix': 'translate English to Hinglish: ', 'input': ""♪ He's so adorable ♪"", 'target': 'wo bohat lovely hai'}"
37,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's very good."", 'target': 'ye really achi hai'}"
38,"{'prefix': 'translate English to Hinglish: ', 'input': 'What do you like about her?', 'target': 'iske baare mein tume kya acha laga'}"
39,"{'prefix': 'translate English to Hinglish: ', 'input': 'The CGI is really good.', 'target': 'CGI really good hai'}"
40,"{'prefix': 'translate English to Hinglish: ', 'input': '♪ And the story is fantastic ♪', 'target': 'aur storyline fantastic hai'}"
41,"{'prefix': 'translate English to Hinglish: ', 'input': 'I really agree with that.', 'target': 'main really agree karta hun isse'}"
42,"{'prefix': 'translate English to Hinglish: ', 'input': 'I totally agree.', 'target': 'bilkul agree'}"
43,"{'prefix': 'translate English to Hinglish: ', 'input': 'and also the casting', 'target': 'aur casting bhi'}"
44,"{'prefix': 'translate English to Hinglish: ', 'input': 'It tells a great story about how good intentions can turn out bad', 'target': 'ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain'}"
45,"{'prefix': 'translate English to Hinglish: ', 'input': 'and all other components of the movie is great', 'target': 'aur movie ke baki saare components great hain'}"
46,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes it stars Angelina Joile', 'target': 'han ye Angelina Jolie ko star karti hai'}"
47,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes its a clean movie', 'target': 'haan, yeh clean movie hein'}"
48,"{'prefix': 'translate English to Hinglish: ', 'input': 'shes suitable for this role', 'target': 'voh is role ke liye suitable hein'}"
49,"{'prefix': 'translate English to Hinglish: ', 'input': 'she pulled it out really good', 'target': 'isme tho yeh ache tarah pulled out kiya'}"
50,"{'prefix': 'translate English to Hinglish: ', 'input': 'It got a score of 51% on rotten tomatos', 'target': 'rotten tomatoes ne tho 51% score deya hein'}"
51,"{'prefix': 'translate English to Hinglish: ', 'input': 'And the rain.', 'target': 'aur casting bhi'}"
52,"{'prefix': 'translate English to Hinglish: ', 'input': 'It says a big story about how good intentions get worse.', 'target': 'ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain'}"
53,"{'prefix': 'translate English to Hinglish: ', 'input': 'All the other parts of this movie are great.', 'target': 'aur movie ke baki saare components great hain'}"
54,"{'prefix': 'translate English to Hinglish: ', 'input': ""- Yes, I'm Angelina Joel."", 'target': 'han ye Angelina Jolie ko star karti hai'}"
55,"{'prefix': 'translate English to Hinglish: ', 'input': ""Yeah, it's a clean movie."", 'target': 'haan, yeh clean movie hein'}"
56,"{'prefix': 'translate English to Hinglish: ', 'input': ""She's perfect for this role."", 'target': 'voh is role ke liye suitable hein'}"
57,"{'prefix': 'translate English to Hinglish: ', 'input': ""She's pretty good at it."", 'target': 'isme tho yeh ache tarah pulled out kiya'}"
58,"{'prefix': 'translate English to Hinglish: ', 'input': 'It scores 51% on rotten tomatoes.', 'target': 'rotten tomatoes ne tho 51% score deya hein'}"
59,"{'prefix': 'translate English to Hinglish: ', 'input': 'and also casting', 'target': 'aur casting bhi'}"
60,"{'prefix': 'translate English to Hinglish: ', 'input': 'He tells a great story about how good intentions can turn out to be bad.', 'target': 'ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain'}"
61,"{'prefix': 'translate English to Hinglish: ', 'input': 'And all the other ingredients in the film are great', 'target': 'aur movie ke baki saare components great hain'}"
62,"{'prefix': 'translate English to Hinglish: ', 'input': ""She's Angelina Joile's star."", 'target': 'han ye Angelina Jolie ko star karti hai'}"
63,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's a clean movie."", 'target': 'haan, yeh clean movie hein'}"
64,"{'prefix': 'translate English to Hinglish: ', 'input': 'He is able to play this role.', 'target': 'voh is role ke liye suitable hein'}"
65,"{'prefix': 'translate English to Hinglish: ', 'input': 'He did very well.', 'target': 'isme tho yeh ache tarah pulled out kiya'}"
66,"{'prefix': 'translate English to Hinglish: ', 'input': 'It scored 51% in rotten tomatoes', 'target': 'rotten tomatoes ne tho 51% score deya hein'}"
67,"{'prefix': 'translate English to Hinglish: ', 'input': 'i feel it should have been higher', 'target': 'muje bhi kuch aise hi feel huva'}"
68,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes', 'target': 'haan'}"
69,"{'prefix': 'translate English to Hinglish: ', 'input': 'but the characters served justice ', 'target': 'lekin is character tho badiya justice deya hein'}"
70,"{'prefix': 'translate English to Hinglish: ', 'input': 'to the movie really well', 'target': 'is movie ke liye tho badiya hein'}"
71,"{'prefix': 'translate English to Hinglish: ', 'input': 'It also has Sharlto Copley  as the male lead', 'target': 'male lead tho Sharlto copley ne hi kiya'}"
72,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes he is really good', 'target': 'haan voh tho badiya hein'}"
73,"{'prefix': 'translate English to Hinglish: ', 'input': 'has he been in anything else you know of?', 'target': 'kya aur kuch iske baare mein kuch patha hein?'}"
74,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes i do', 'target': 'haan muje patha hein'}"
75,"{'prefix': 'translate English to Hinglish: ', 'input': 'I think we should go higher.', 'target': 'muje bhi kuch aise hi feel huva'}"
76,"{'prefix': 'translate English to Hinglish: ', 'input': '- Yeah.', 'target': 'haan'}"
77,"{'prefix': 'translate English to Hinglish: ', 'input': 'But the characters are just.', 'target': 'lekin is character tho badiya justice deya hein'}"
78,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's really nice to go to the movies."", 'target': 'is movie ke liye tho badiya hein'}"
79,"{'prefix': 'translate English to Hinglish: ', 'input': 'Sharlto Copley is also a male leader.', 'target': 'male lead tho Sharlto copley ne hi kiya'}"
80,"{'prefix': 'translate English to Hinglish: ', 'input': ""- Yeah, he's really good."", 'target': 'haan voh tho badiya hein'}"
81,"{'prefix': 'translate English to Hinglish: ', 'input': 'Has he been to anything else you know?', 'target': 'kya aur kuch iske baare mein kuch patha hein?'}"
82,"{'prefix': 'translate English to Hinglish: ', 'input': '- Yes, I do.', 'target': 'haan muje patha hein'}"
83,"{'prefix': 'translate English to Hinglish: ', 'input': 'I feel like I had to be bigger.', 'target': 'muje bhi kuch aise hi feel huva'}"
84,"{'prefix': 'translate English to Hinglish: ', 'input': '♪ Yeah ♪', 'target': 'haan'}"
85,"{'prefix': 'translate English to Hinglish: ', 'input': 'But the characters served justice', 'target': 'lekin is character tho badiya justice deya hein'}"
86,"{'prefix': 'translate English to Hinglish: ', 'input': 'To the movie really well', 'target': 'is movie ke liye tho badiya hein'}"
87,"{'prefix': 'translate English to Hinglish: ', 'input': 'He also has Sharlto Copley as his male head.', 'target': 'male lead tho Sharlto copley ne hi kiya'}"
88,"{'prefix': 'translate English to Hinglish: ', 'input': ""Yes, it's very good."", 'target': 'haan voh tho badiya hein'}"
89,"{'prefix': 'translate English to Hinglish: ', 'input': 'Have you been to anything else you know?', 'target': 'kya aur kuch iske baare mein kuch patha hein?'}"
90,"{'prefix': 'translate English to Hinglish: ', 'input': ""Yes, it's true."", 'target': 'haan muje patha hein'}"
91,"{'prefix': 'translate English to Hinglish: ', 'input': 'tell me', 'target': 'to boliye'}"
92,"{'prefix': 'translate English to Hinglish: ', 'input': 'chappie', 'target': 'chappie'}"
93,"{'prefix': 'translate English to Hinglish: ', 'input': 'a team', 'target': 'yek team'}"
94,"{'prefix': 'translate English to Hinglish: ', 'input': 'free fire', 'target': 'free fire'}"
95,"{'prefix': 'translate English to Hinglish: ', 'input': 'oh nice', 'target': 'acha nice hein'}"
96,"{'prefix': 'translate English to Hinglish: ', 'input': 'hardcore henry also', 'target': 'hardcore henry bhi hein'}"
97,"{'prefix': 'translate English to Hinglish: ', 'input': 'hi', 'target': 'Namaste'}"
98,"{'prefix': 'translate English to Hinglish: ', 'input': 'Hey', 'target': 'thik hai'}"
99,"{'prefix': 'translate English to Hinglish: ', 'input': '- Tell me.', 'target': 'to boliye'}"
100,"{'prefix': 'translate English to Hinglish: ', 'input': '- NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO.', 'target': 'chappie'}"
101,"{'prefix': 'translate English to Hinglish: ', 'input': 'A team.', 'target': 'yek team'}"
102,"{'prefix': 'translate English to Hinglish: ', 'input': 'Free fire.', 'target': 'free fire'}"
103,"{'prefix': 'translate English to Hinglish: ', 'input': 'Oh, okay.', 'target': 'acha nice hein'}"
104,"{'prefix': 'translate English to Hinglish: ', 'input': ""Henry's good, too."", 'target': 'hardcore henry bhi hein'}"
105,"{'prefix': 'translate English to Hinglish: ', 'input': '♪ Tell me ♪', 'target': 'to boliye'}"
106,"{'prefix': 'translate English to Hinglish: ', 'input': 'Champagne', 'target': 'chappie'}"
107,"{'prefix': 'translate English to Hinglish: ', 'input': 'A team', 'target': 'yek team'}"
108,"{'prefix': 'translate English to Hinglish: ', 'input': 'Free the fire!', 'target': 'free fire'}"
109,"{'prefix': 'translate English to Hinglish: ', 'input': ""Oh, that's good."", 'target': 'acha nice hein'}"
110,"{'prefix': 'translate English to Hinglish: ', 'input': 'A hardcore hedge, too.', 'target': 'hardcore henry bhi hein'}"
111,"{'prefix': 'translate English to Hinglish: ', 'input': 'so what movie r we chating bout', 'target': 'To kis movie ke bare mei ham baat kar rahe hai'}"
112,"{'prefix': 'translate English to Hinglish: ', 'input': 'The notebook', 'target': 'ye Kitaab'}"
113,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's a romantic drama"", 'target': 'Ye ek romantic natak hai'}"
114,"{'prefix': 'translate English to Hinglish: ', 'input': 'best and only romantiv film  i ever enjoyed', 'target': 'bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai'}"
115,"{'prefix': 'translate English to Hinglish: ', 'input': 'hello', 'target': 'Namaste'}"
116,"{'prefix': 'translate English to Hinglish: ', 'input': 'The movie is John Wick. Have you seen it before?', 'target': 'The movie is John Wick. Kya tunme isse pahle dekha hai>'}"
117,"{'prefix': 'translate English to Hinglish: ', 'input': 'I just watched it yesterday ', 'target': 'Haan, Kal I just watched it.'}"
118,"{'prefix': 'translate English to Hinglish: ', 'input': ""So, what's the movie we're talking about about Boot?"", 'target': 'To kis movie ke bare mei ham baat kar rahe hai'}"
119,"{'prefix': 'translate English to Hinglish: ', 'input': 'Notes', 'target': 'ye Kitaab'}"
120,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's a romantic play."", 'target': 'Ye ek romantic natak hai'}"
121,"{'prefix': 'translate English to Hinglish: ', 'input': ""The best and only romantic movie I've ever enjoyed."", 'target': 'bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai'}"
122,"{'prefix': 'translate English to Hinglish: ', 'input': ""The movie's John Wick."", 'target': 'The movie is John Wick. Kya tunme isse pahle dekha hai>'}"
123,"{'prefix': 'translate English to Hinglish: ', 'input': 'I took a look at it yesterday.', 'target': 'Haan, Kal I just watched it.'}"
124,"{'prefix': 'translate English to Hinglish: ', 'input': 'So what is the movie?', 'target': 'To kis movie ke bare mei ham baat kar rahe hai'}"
125,"{'prefix': 'translate English to Hinglish: ', 'input': 'The book', 'target': 'ye Kitaab'}"
126,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's a romantic drama."", 'target': 'Ye ek romantic natak hai'}"
127,"{'prefix': 'translate English to Hinglish: ', 'input': ""The best and the only romantic movie I've ever loved"", 'target': 'bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai'}"
128,"{'prefix': 'translate English to Hinglish: ', 'input': 'The movie is John Wick.', 'target': 'The movie is John Wick. Kya tunme isse pahle dekha hai>'}"
129,"{'prefix': 'translate English to Hinglish: ', 'input': 'I saw him yesterday.', 'target': 'Haan, Kal I just watched it.'}"
130,"{'prefix': 'translate English to Hinglish: ', 'input': 'Did you enjoy it?', 'target': 'Kya tumne yeh enjoy kiya'}"
131,"{'prefix': 'translate English to Hinglish: ', 'input': 'yeah I thought it was awesome', 'target': 'Yeah mujhe lagta hain it was awesome'}"
132,"{'prefix': 'translate English to Hinglish: ', 'input': 'I thought the same thing when I watched it. Keanu was amazing in it.', 'target': 'Muje wohi lagta hain jab I watched it. Keanu was amazing in it.'}"
133,"{'prefix': 'translate English to Hinglish: ', 'input': 'I feel like they dont make movies like that anymore, like action movies', 'target': 'Mujhe lagta hain woh ab iski tarah do not make movies anymore, like action movies.'}"
134,"{'prefix': 'translate English to Hinglish: ', 'input': ""They really don't and they should start making this style."", 'target': 'Bilkul nahin and ab woh start making this style'}"
135,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yeah exactly ', 'target': 'yes exactly'}"
136,"{'prefix': 'translate English to Hinglish: ', 'input': 'It was nice to see John Leguizamo make a little bit of a comeback.', 'target': 'yah dekh ke achcha laga ki John Leguizamo ne ek chhota mota comeback kiya hai'}"
137,"{'prefix': 'translate English to Hinglish: ', 'input': 'I dont remember seeing him in the first one', 'target': 'Mujhe yad nahi first one me use dekhne ka'}"
138,"{'prefix': 'translate English to Hinglish: ', 'input': 'Do you like it?', 'target': 'Kya tumne yeh enjoy kiya'}"
139,"{'prefix': 'translate English to Hinglish: ', 'input': '- Yeah, I thought it was wonderful.', 'target': 'Yeah mujhe lagta hain it was awesome'}"
140,"{'prefix': 'translate English to Hinglish: ', 'input': ""That's what I thought when I saw it. Keanu was amazing."", 'target': 'Muje wohi lagta hain jab I watched it. Keanu was amazing in it.'}"
141,"{'prefix': 'translate English to Hinglish: ', 'input': ""I don't think they're making any more movies like that."", 'target': 'Mujhe lagta hain woh ab iski tarah do not make movies anymore, like action movies.'}"
142,"{'prefix': 'translate English to Hinglish: ', 'input': ""They really don't. They should start doing this."", 'target': 'Bilkul nahin and ab woh start making this style'}"
143,"{'prefix': 'translate English to Hinglish: ', 'input': '- Yeah, right.', 'target': 'yes exactly'}"
144,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's good to see John Leguizamo back."", 'target': 'yah dekh ke achcha laga ki John Leguizamo ne ek chhota mota comeback kiya hai'}"
145,"{'prefix': 'translate English to Hinglish: ', 'input': ""I don't remember the first time I saw him."", 'target': 'Mujhe yad nahi first one me use dekhne ka'}"
146,"{'prefix': 'translate English to Hinglish: ', 'input': 'Did you like it?', 'target': 'Kya tumne yeh enjoy kiya'}"
147,"{'prefix': 'translate English to Hinglish: ', 'input': 'I thought it was great.', 'target': 'Yeah mujhe lagta hain it was awesome'}"
148,"{'prefix': 'translate English to Hinglish: ', 'input': 'I thought the same thing when I saw him. Keanu was amazing in him.', 'target': 'Muje wohi lagta hain jab I watched it. Keanu was amazing in it.'}"
149,"{'prefix': 'translate English to Hinglish: ', 'input': ""I feel like they don't make movies like that anymore, like action movies."", 'target': 'Mujhe lagta hain woh ab iski tarah do not make movies anymore, like action movies.'}"
150,"{'prefix': 'translate English to Hinglish: ', 'input': ""They don't really do it and they should start doing that style."", 'target': 'Bilkul nahin and ab woh start making this style'}"
151,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yes, exactly.', 'target': 'yes exactly'}"
152,"{'prefix': 'translate English to Hinglish: ', 'input': 'It was nice to see John Leguizamo coming back.', 'target': 'yah dekh ke achcha laga ki John Leguizamo ne ek chhota mota comeback kiya hai'}"
153,"{'prefix': 'translate English to Hinglish: ', 'input': ""I don't remember seeing him in the first one."", 'target': 'Mujhe yad nahi first one me use dekhne ka'}"
154,"{'prefix': 'translate English to Hinglish: ', 'input': 'I would have had the same reaction as Wick  to anyone who killed the puppy my dead wife gave to me.', 'target': 'mera reaction bhi Wick ki tarah hi hota agar kisi ne mere us puppy ka mara hota jo ki mujhe meri dead wife ne diya tha'}"
155,"{'prefix': 'translate English to Hinglish: ', 'input': 'yeah your right I would have gone insane.', 'target': 'yes aap right ho mai bhi insane ho jata'}"
156,"{'prefix': 'translate English to Hinglish: ', 'input': ""It was interesting to see a part of the assassin world. John Wick's car was pretty beautiful until it got stolen."", 'target': 'bahut interesting tha assassin ki duniya ke part ko dekhna. John Wick ki car bahut beautiful thi chori hone se pahle.'}"
157,"{'prefix': 'translate English to Hinglish: ', 'input': 'I was thinking the same thing yesterday his car is cool.', 'target': 'mai bhi kal yahi soch raha tha ki uski car kitni cool hai.'}"
158,"{'prefix': 'translate English to Hinglish: ', 'input': 'Hi', 'target': 'HELLO'}"
159,"{'prefix': 'translate English to Hinglish: ', 'input': 'How’s it going?', 'target': 'KAISA CHAL RAHA HAI?'}"
160,"{'prefix': 'translate English to Hinglish: ', 'input': 'Pretty good. Are you a Marvel fan?', 'target': 'ACHA. KYA AAP MARVEL KA FAN HO?'}"
161,"{'prefix': 'translate English to Hinglish: ', 'input': 'I, like Wick, would do the same to the man who killed the puppy as my dead wife did to me.', 'target': 'mera reaction bhi Wick ki tarah hi hota agar kisi ne mere us puppy ka mara hota jo ki mujhe meri dead wife ne diya tha'}"
162,"{'prefix': 'translate English to Hinglish: ', 'input': ""Yeah, you're right, I'm going crazy."", 'target': 'yes aap right ho mai bhi insane ho jata'}"
163,"{'prefix': 'translate English to Hinglish: ', 'input': ""It's interesting to see part of the world of assassins."", 'target': 'bahut interesting tha assassin ki duniya ke part ko dekhna. John Wick ki car bahut beautiful thi chori hone se pahle.'}"
164,"{'prefix': 'translate English to Hinglish: ', 'input': ""That's what I thought yesterday. His car was cool."", 'target': 'mai bhi kal yahi soch raha tha ki uski car kitni cool hai.'}"
165,"{'prefix': 'translate English to Hinglish: ', 'input': ""Are you Marvel's fan?"", 'target': 'ACHA. KYA AAP MARVEL KA FAN HO?'}"
166,"{'prefix': 'translate English to Hinglish: ', 'input': 'I would have had the same reaction as Wick to anyone who killed the puppy my dead wife gave me.', 'target': 'mera reaction bhi Wick ki tarah hi hota agar kisi ne mere us puppy ka mara hota jo ki mujhe meri dead wife ne diya tha'}"
167,"{'prefix': 'translate English to Hinglish: ', 'input': 'Your right would have made me crazy.', 'target': 'yes aap right ho mai bhi insane ho jata'}"
168,"{'prefix': 'translate English to Hinglish: ', 'input': ""It was interesting to see part of the murderous world. John Wick's car was pretty good until it was stolen."", 'target': 'bahut interesting tha assassin ki duniya ke part ko dekhna. John Wick ki car bahut beautiful thi chori hone se pahle.'}"
169,"{'prefix': 'translate English to Hinglish: ', 'input': 'I thought the same thing yesterday your car is great.', 'target': 'mai bhi kal yahi soch raha tha ki uski car kitni cool hai.'}"
170,"{'prefix': 'translate English to Hinglish: ', 'input': 'Are you a Marvel fan?', 'target': 'ACHA. KYA AAP MARVEL KA FAN HO?'}"
171,"{'prefix': 'translate English to Hinglish: ', 'input': 'Good to hear. Sure, what about you?', 'target': 'SUN KE ACHA LAGA. AAP KA BHAT KYA HAI?'}"
172,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yes, I am a huge Marvel fan. One of my favorites is the Avengers. Mark Ruffalo is great as The Hulk. ', 'target': 'HA MAIN BAHOOT BADA MARVEL FAN HUH . AVENGERS MERA FAVORITE AUR MARK RUFFALO BAHOOT BADIA THA HULK JAISAA.'}"
173,"{'prefix': 'translate English to Hinglish: ', 'input': 'Sure, I liked the Avengers a lot.', 'target': 'TEEK HAI , MERE KHO BHI AVENGERS PASANDH HAI'}"
174,"{'prefix': 'translate English to Hinglish: ', 'input': 'I also think Ruffalo is a great Hulk.', 'target': 'MAIN BHI YE SOCH RAHA KI MARK RUFFALO BADIA HAI HULK KE LIYA.'}"
175,"{'prefix': 'translate English to Hinglish: ', 'input': 'Is Avengers the movie we’re supposed to talk about?', 'target': 'kya Avengers aesi Movie he ki hame iske bare me talk karna chahiye?'}"
176,"{'prefix': 'translate English to Hinglish: ', 'input': 'Rotten Tomatoes gave it a 92% rating and average of 8/10. Yes, I believe so. ', 'target': 'Rottten Tomatoes ne ise 92% rating di he aur 8/10 ka average. ya , me aisa believe karta hu.'}"
177,"{'prefix': 'translate English to Hinglish: ', 'input': 'Okay then. Right, I’ve always experiened that IMDB gives movies a lower average rating than rotten tomatoes.', 'target': 'tab oke he. Right, me hamesha experience kiya he ki Rotten Tomatoes ke comparison me  IMDB movies ko lower average rating deta he.'}"
178,"{'prefix': 'translate English to Hinglish: ', 'input': 'Tha', 'target': 'not he it is tha'}"
179,"{'prefix': 'translate English to Hinglish: ', 'input': 'Of course. And you?', 'target': 'SUN KE ACHA LAGA. AAP KA BHAT KYA HAI?'}"
180,"{'prefix': 'translate English to Hinglish: ', 'input': ""Yeah, I'm a big Marvel fan, and my favorite is the Avengers."", 'target': 'HA MAIN BAHOOT BADA MARVEL FAN HUH . AVENGERS MERA FAVORITE AUR MARK RUFFALO BAHOOT BADIA THA HULK JAISAA.'}"
181,"{'prefix': 'translate English to Hinglish: ', 'input': 'Of course, I love the Avengers.', 'target': 'TEEK HAI , MERE KHO BHI AVENGERS PASANDH HAI'}"
182,"{'prefix': 'translate English to Hinglish: ', 'input': ""I think Rufarro's a big shot, too."", 'target': 'MAIN BHI YE SOCH RAHA KI MARK RUFFALO BADIA HAI HULK KE LIYA.'}"
183,"{'prefix': 'translate English to Hinglish: ', 'input': 'Is the Avengers the movie we should talk about?', 'target': 'kya Avengers aesi Movie he ki hame iske bare me talk karna chahiye?'}"
184,"{'prefix': 'translate English to Hinglish: ', 'input': 'The barbeque gave him 92% of the score, an average of 8 points and 10 points.', 'target': 'Rottten Tomatoes ne ise 92% rating di he aur 8/10 ka average. ya , me aisa believe karta hu.'}"
185,"{'prefix': 'translate English to Hinglish: ', 'input': ""Well, then I've always known that IMDB films give a lower average rating than rotting tomatoes."", 'target': 'tab oke he. Right, me hamesha experience kiya he ki Rotten Tomatoes ke comparison me  IMDB movies ko lower average rating deta he.'}"
186,"{'prefix': 'translate English to Hinglish: ', 'input': '- NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO.', 'target': 'not he it is tha'}"
187,"{'prefix': 'translate English to Hinglish: ', 'input': 'Of course, what about you?', 'target': 'SUN KE ACHA LAGA. AAP KA BHAT KYA HAI?'}"
188,"{'prefix': 'translate English to Hinglish: ', 'input': ""I'm a big fan of Marvel, one of my favorites is the Avengers, Mark Ruffalo is big as the Hulk."", 'target': 'HA MAIN BAHOOT BADA MARVEL FAN HUH . AVENGERS MERA FAVORITE AUR MARK RUFFALO BAHOOT BADIA THA HULK JAISAA.'}"
189,"{'prefix': 'translate English to Hinglish: ', 'input': 'Of course, I really liked the Avengers.', 'target': 'TEEK HAI , MERE KHO BHI AVENGERS PASANDH HAI'}"
190,"{'prefix': 'translate English to Hinglish: ', 'input': ""Is Avengers the movie we're supposed to talk about?"", 'target': 'kya Avengers aesi Movie he ki hame iske bare me talk karna chahiye?'}"
191,"{'prefix': 'translate English to Hinglish: ', 'input': 'Rotary tomatoes gave him an average score of 92% of 8/10. Yes, I think so.', 'target': 'Rottten Tomatoes ne ise 92% rating di he aur 8/10 ka average. ya , me aisa believe karta hu.'}"
192,"{'prefix': 'translate English to Hinglish: ', 'input': ""Okay, I've always lived that the IMDB gives the movies an average score lower than the rotten tomatoes."", 'target': 'tab oke he. Right, me hamesha experience kiya he ki Rotten Tomatoes ke comparison me  IMDB movies ko lower average rating deta he.'}"
193,"{'prefix': 'translate English to Hinglish: ', 'input': ""That's all."", 'target': 'not he it is tha'}"
